Date,Open,High,Low,Close,Adj Close,Volume
1928-01-03,17.760000,17.760000,17.760000,17.760000,17.760000,0
1928-01-04,17.719999,17.719999,17.719999,17.719999,17.719999,0
1928-01-05,17.549999,17.549999,17.549999,17.549999,17.549999,0
1928-01-06,17.660000,17.660000,17.660000,17.660000,17.660000,0
1928-01-09,17.500000,17.500000,17.500000,17.500000,17.500000,0
1928-01-10,17.370001,17.370001,17.370001,17.370001,17.370001,0
1928-01-11,17.350000,17.350000,17.350000,17.350000,17.350000,0
1928-01-12,17.469999,17.469999,17.469999,17.469999,17.469999,0
1928-01-13,17.580000,17.580000,17.580000,17.580000,17.580000,0
1928-01-16,17.290001,17.290001,17.290001,17.290001,17.290001,0
1928-01-17,17.299999,17.299999,17.299999,17.299999,17.299999,0
1928-01-18,17.260000,17.260000,17.260000,17.260000,17.260000,0
1928-01-19,17.379999,17.379999,17.379999,17.379999,17.379999,0
1928-01-20,17.480000,17.480000,17.480000,17.480000,17.480000,0
1928-01-23,17.639999,17.639999,17.639999,17.639999,17.639999,0
1928-01-24,17.709999,17.709999,17.709999,17.709999,17.709999,0
1928-01-25,17.520000,17.520000,17.520000,17.520000,17.520000,0
1928-01-26,17.629999,17.629999,17.629999,17.629999,17.629999,0
1928-01-27,17.690001,17.690001,17.690001,17.690001,17.690001,0
1928-01-30,17.490000,17.490000,17.490000,17.490000,17.490000,0
1928-01-31,17.570000,17.570000,17.570000,17.570000,17.570000,0
1928-02-01,17.530001,17.530001,17.530001,17.530001,17.530001,0
1928-03-01,17.299999,17.299999,17.299999,17.299999,17.299999,0
1928-05-01,19.780001,19.780001,19.780001,19.780001,19.780001,0
1928-06-01,20.070000,20.070000,20.070000,20.070000,20.070000,0
1928-08-01,19.420000,19.420000,19.420000,19.420000,19.420000,0
1928-10-01,21.360001,21.360001,21.360001,21.360001,21.360001,0
1928-11-01,21.990000,21.990000,21.990000,21.990000,21.990000,0
1929-01-02,24.809999,24.809999,24.809999,24.809999,24.809999,0
1929-01-03,24.860001,24.860001,24.860001,24.860001,24.860001,0
1929-01-04,24.850000,24.850000,24.850000,24.850000,24.850000,0
1929-01-07,24.250000,24.250000,24.250000,24.250000,24.250000,0
1929-01-08,24.170000,24.170000,24.170000,24.170000,24.170000,0
1929-01-09,24.540001,24.540001,24.540001,24.540001,24.540001,0
1929-01-10,24.580000,24.580000,24.580000,24.580000,24.580000,0
1929-01-11,24.540001,24.540001,24.540001,24.540001,24.540001,0
1929-01-14,24.590000,24.590000,24.590000,24.590000,24.590000,0
1929-01-15,24.230000,24.230000,24.230000,24.230000,24.230000,0
1929-01-16,24.559999,24.559999,24.559999,24.559999,24.559999,0
1929-01-17,24.690001,24.690001,24.690001,24.690001,24.690001,0
1929-01-18,24.770000,24.770000,24.770000,24.770000,24.770000,0
1929-01-21,24.860001,24.860001,24.860001,24.860001,24.860001,0
1929-01-22,25.070000,25.070000,25.070000,25.070000,25.070000,0
1929-01-23,25.219999,25.219999,25.219999,25.219999,25.219999,0
1929-01-24,25.059999,25.059999,25.059999,25.059999,25.059999,0
1929-01-25,25.480000,25.480000,25.480000,25.480000,25.480000,0
1929-01-28,25.350000,25.350000,25.350000,25.350000,25.350000,0
1929-01-29,25.360001,25.360001,25.360001,25.360001,25.360001,0
1929-01-30,25.450001,25.450001,25.450001,25.450001,25.450001,0
1929-01-31,25.740000,25.740000,25.740000,25.740000,25.740000,0
1929-02-01,25.840000,25.840000,25.840000,25.840000,25.840000,0
1929-03-01,25.830000,25.830000,25.830000,25.830000,25.830000,0
1929-04-01,24.879999,24.879999,24.879999,24.879999,24.879999,0
1929-05-01,25.990000,25.990000,25.990000,25.990000,25.990000,0
1929-07-01,27.770000,27.770000,27.770000,27.770000,27.770000,0
1929-08-01,29.080000,29.080000,29.080000,29.080000,29.080000,0
1929-10-01,29.980000,29.980000,29.980000,29.980000,29.980000,0
1930-01-02,21.180000,21.180000,21.180000,21.180000,21.180000,0
1930-01-03,21.230000,21.230000,21.230000,21.230000,21.230000,0
1930-01-06,21.500000,21.500000,21.500000,21.500000,21.500000,0
1930-01-07,21.309999,21.309999,21.309999,21.309999,21.309999,0
1930-01-08,21.290001,21.290001,21.290001,21.290001,21.290001,0
1930-01-09,21.620001,21.620001,21.620001,21.620001,21.620001,0
1930-01-10,21.549999,21.549999,21.549999,21.549999,21.549999,0
1930-01-13,21.520000,21.520000,21.520000,21.520000,21.520000,0
1930-01-14,21.559999,21.559999,21.559999,21.559999,21.559999,0
1930-01-15,21.650000,21.650000,21.650000,21.650000,21.650000,0
1930-01-16,21.500000,21.500000,21.500000,21.500000,21.500000,0
1930-01-17,21.309999,21.309999,21.309999,21.309999,21.309999,0
1930-01-20,21.500000,21.500000,21.500000,21.500000,21.500000,0
1930-01-21,21.610001,21.610001,21.610001,21.610001,21.610001,0
1930-01-22,21.629999,21.629999,21.629999,21.629999,21.629999,0
1930-01-23,21.840000,21.840000,21.840000,21.840000,21.840000,0
1930-01-24,22.040001,22.040001,22.040001,22.040001,22.040001,0
1930-01-27,22.209999,22.209999,22.209999,22.209999,22.209999,0
1930-01-28,22.100000,22.100000,22.100000,22.100000,22.100000,0
1930-01-29,22.350000,22.350000,22.350000,22.350000,22.350000,0
1930-01-30,22.469999,22.469999,22.469999,22.469999,22.469999,0
1930-01-31,22.790001,22.790001,22.790001,22.790001,22.790001,0
1930-04-01,25.370001,25.370001,25.370001,25.370001,25.370001,0
1930-05-01,24.299999,24.299999,24.299999,24.299999,24.299999,0
1930-07-01,20.240000,20.240000,20.240000,20.240000,20.240000,0
1930-08-01,21.110001,21.110001,21.110001,21.110001,21.110001,0
1930-10-01,19.420000,19.420000,19.420000,19.420000,19.420000,0
1930-12-01,16.799999,16.799999,16.799999,16.799999,16.799999,0
1931-01-02,15.850000,15.850000,15.850000,15.850000,15.850000,0
1931-01-05,15.930000,15.930000,15.930000,15.930000,15.930000,0
1931-01-06,16.129999,16.129999,16.129999,16.129999,16.129999,0
1931-01-07,15.090000,15.090000,15.090000,15.090000,15.090000,0
1931-01-08,16.230000,16.230000,16.230000,16.230000,16.230000,0
1931-01-09,16.070000,16.070000,16.070000,16.070000,16.070000,0
1931-01-12,15.840000,15.840000,15.840000,15.840000,15.840000,0
1931-01-13,15.650000,15.650000,15.650000,15.650000,15.650000,0
1931-01-14,15.830000,15.830000,15.830000,15.830000,15.830000,0
1931-01-15,15.460000,15.460000,15.460000,15.460000,15.460000,0
1931-01-16,15.650000,15.650000,15.650000,15.650000,15.650000,0
1931-01-19,15.460000,15.460000,15.460000,15.460000,15.460000,0
1931-01-20,15.780000,15.780000,15.780000,15.780000,15.780000,0
1931-01-21,15.780000,15.780000,15.780000,15.780000,15.780000,0
1931-01-22,16.070000,16.070000,16.070000,16.070000,16.070000,0
1931-01-23,16.420000,16.420000,16.420000,16.420000,16.420000,0
1931-01-26,16.400000,16.400000,16.400000,16.400000,16.400000,0
1931-01-27,16.320000,16.320000,16.320000,16.320000,16.320000,0
1931-01-28,16.020000,16.020000,16.020000,16.020000,16.020000,0
1931-01-29,16.170000,16.170000,16.170000,16.170000,16.170000,0
1931-01-30,16.190001,16.190001,16.190001,16.190001,16.190001,0
1931-04-01,16.520000,16.520000,16.520000,16.520000,16.520000,0
1931-05-01,14.650000,14.650000,14.650000,14.650000,14.650000,0
1931-06-01,12.400000,12.400000,12.400000,12.400000,12.400000,0
1931-07-01,15.070000,15.070000,15.070000,15.070000,15.070000,0
1931-09-01,13.920000,13.920000,13.920000,13.920000,13.920000,0
1931-10-01,9.530000,9.530000,9.530000,9.530000,9.530000,0
1931-12-01,9.380000,9.380000,9.380000,9.380000,9.380000,0
1932-01-04,7.560000,7.560000,7.560000,7.560000,7.560000,0
1932-01-05,7.550000,7.550000,7.550000,7.550000,7.550000,0
1932-01-06,8.080000,8.080000,8.080000,8.080000,8.080000,0
1932-01-07,8.220000,8.220000,8.220000,8.220000,8.220000,0
1932-01-08,8.570000,8.570000,8.570000,8.570000,8.570000,0
1932-01-11,8.480000,8.480000,8.480000,8.480000,8.480000,0
1932-01-12,8.390000,8.390000,8.390000,8.390000,8.390000,0
1932-01-13,8.800000,8.800000,8.800000,8.800000,8.800000,0
1932-01-14,8.900000,8.900000,8.900000,8.900000,8.900000,0
1932-01-15,8.920000,8.920000,8.920000,8.920000,8.920000,0
1932-01-18,8.510000,8.510000,8.510000,8.510000,8.510000,0
1932-01-19,8.480000,8.480000,8.480000,8.480000,8.480000,0
1932-01-20,8.630000,8.630000,8.630000,8.630000,8.630000,0
1932-01-21,8.580000,8.580000,8.580000,8.580000,8.580000,0
1932-01-22,8.210000,8.210000,8.210000,8.210000,8.210000,0
1932-01-25,8.200000,8.200000,8.200000,8.200000,8.200000,0
1932-01-26,8.310000,8.310000,8.310000,8.310000,8.310000,0
1932-01-27,8.150000,8.150000,8.150000,8.150000,8.150000,0
1932-01-28,8.030000,8.030000,8.030000,8.030000,8.030000,0
1932-01-29,7.940000,7.940000,7.940000,7.940000,7.940000,0
1932-02-01,8.230000,8.230000,8.230000,8.230000,8.230000,0
1932-03-01,8.350000,8.350000,8.350000,8.350000,8.350000,0
1932-04-01,7.180000,7.180000,7.180000,7.180000,7.180000,0
1932-06-01,4.400000,4.400000,4.400000,4.400000,4.400000,0
1932-07-01,4.600000,4.600000,4.600000,4.600000,4.600000,0
1932-08-01,6.110000,6.110000,6.110000,6.110000,6.110000,0
1932-09-01,8.470000,8.470000,8.470000,8.470000,8.470000,0
1932-11-01,6.760000,6.760000,6.760000,6.760000,6.760000,0
1932-12-01,6.730000,6.730000,6.730000,6.730000,6.730000,0
1933-01-03,6.830000,6.830000,6.830000,6.830000,6.830000,0
1933-01-04,7.150000,7.150000,7.150000,7.150000,7.150000,0
1933-01-05,7.120000,7.120000,7.120000,7.120000,7.120000,0
1933-01-06,7.230000,7.230000,7.230000,7.230000,7.230000,0
1933-01-09,7.130000,7.130000,7.130000,7.130000,7.130000,0
1933-01-10,7.340000,7.340000,7.340000,7.340000,7.340000,0
1933-01-11,7.320000,7.320000,7.320000,7.320000,7.320000,0
1933-01-12,7.230000,7.230000,7.230000,7.230000,7.230000,0
1933-01-13,7.250000,7.250000,7.250000,7.250000,7.250000,0
1933-01-16,7.060000,7.060000,7.060000,7.060000,7.060000,0
1933-01-17,7.080000,7.080000,7.080000,7.080000,7.080000,0
1933-01-18,6.950000,6.950000,6.950000,6.950000,6.950000,0
1933-01-19,6.980000,6.980000,6.980000,6.980000,6.980000,0
1933-01-20,7.060000,7.060000,7.060000,7.060000,7.060000,0
1933-01-23,7.030000,7.030000,7.030000,7.030000,7.030000,0
1933-01-24,6.980000,6.980000,6.980000,6.980000,6.980000,0
1933-01-25,7.100000,7.100000,7.100000,7.100000,7.100000,0
1933-01-26,7.050000,7.050000,7.050000,7.050000,7.050000,0
1933-01-27,7.040000,7.040000,7.040000,7.040000,7.040000,0
